id,headline,outlet
0,Man who thought he hit dog gets 60 days,Lubbock KCBD
1,Retired general baffled by Russia's military move,CNN
2,North Korea test fires ICBM with range to hit US,Associated Press
3,2022 World Cup injuries tracker,Sporting News
